;region;city;street;latitude;longitude
84;Санкт-Петербург;Санкт-Петербург;Шушары;59.80722;30.379514
85;Санкт-Петербург;Санкт-Петербург;Якорная;59.80722;30.379514
86;Санкт-Петербург;Санкт-Петербург;Янино;59.80722;30.379514
87;Санкт-Петербург;Санкт-Петербург;Конная;60.0099391;30.11223
88;Санкт-Петербург;Санкт-Петербург;Конная;60.010214;30.111915
89;Санкт-Петербург;Санкт-Петербург;Верхний;60.072992;30.359122
90;Санкт-Петербург;Санкт-Петербург;Революции;59.958877;30.427421
91;Санкт-Петербург;Санкт-Петербург;Варшавская;59.880062;30.307846
92;Санкт-Петербург;Санкт-Петербург;Домостроительная;60.072695;30.373199
93;Санкт-Петербург;Санкт-Петербург;Доктора;59.959197;30.348836
94;Санкт-Петербург;Санкт-Петербург;Поселковая;59.981631;30.522840
95;Санкт-Петербург;Санкт-Петербург;Химический;59.889945;30.288344
96;Санкт-Петербург;Санкт-Петербург;Фаянсовая;59.908579;30.390482
97;Санкт-Петербург;Санкт-Петербург;Адмиралтейский;59.937734;30.309149
98;Санкт-Петербург;Санкт-Петербург;Адмиралтейский;59.935376;30.306606
99;Санкт-Петербург;Санкт-Петербург;Латышских;59.929132;30.458422
100;Санкт-Петербург;Санкт-Петербург;Советский;59.822702;30.557731
101;Санкт-Петербург;Санкт-Петербург;Адмиралтейский;59.937734;30.309149
102;Санкт-Петербург;Санкт-Петербург;Невский;59.936557;30.318249
103;Санкт-Петербург;Санкт-Петербург;Домостроительная;60.072695;30.373199
104;Санкт-Петербург;Санкт-Петербург;Бабушкина;59.894491;30.428840
105;Санкт-Петербург;Санкт-Петербург;Энтузиастов;59.949988;30.481212
106;Санкт-Петербург;Санкт-Петербург;Колпино;59.749012;30.597607
107;Санкт-Петербург;Санкт-Петербург;Пловдивская;59.840745;30.380870
108;Санкт-Петербург;Санкт-Петербург;Кронштадтское;60.023164;29.697180
109;Санкт-Петербург;Санкт-Петербург;Варшавская;59.880062;30.307846
110;Санкт-Петербург;Санкт-Петербург;конная;60.010214;30.111915
111;Санкт-Петербург;Санкт-Петербург;верхний;60.072992;30.359122
112;Санкт-Петербург;Санкт-Петербург;Конная;60.010214;30.111915
113;Санкт-Петербург;Санкт-Петербург;Верхний;60.072992;30.359122
114;Санкт-Петербург;Санкт-Петербург г,  Парголово ул. Заречная заезд  с Выборского шоссе;Выборгского;60.126150;30.227366
115;Санкт-Петербург;Санкт-Петербург;Новочеркасский;59.938667;30.407703
116;Санкт-Петербург;Санкт-Петербург;Парашютная;60.035297;30.250426
117;Санкт-Петербург;Санкт-Петербург;Боровая;59.908168;30.341093
118;Санкт-Петербург;Санкт-Петербург;Тюшина;59.916622;30.350274
119;Санкт-Петербург;Санкт-Петербург;Сабировская;59.989364;30.282729
120;Санкт-Петербург;Санкт-Петербург;Маршала;59.846915;30.212975
121;Санкт-Петербург;Санкт-Петербург;Савушкина;59.985998;30.218365
122;Санкт-Петербург;Санкт-Петербург;Маршала;59.846915;30.212975
123;Санкт-Петербург;Санкт-Петербург;Ручьёвская;59.994621;30.453283
124;Санкт-Петербург;Санкт-Петербург;Политехническая;59.990683;30.350453
125;Санкт-Петербург;Санкт-Петербург;Обводного;59.911773;30.332676
126;Санкт-Петербург;Санкт-Петербург;Савушкина;59.985998;30.218365
127;Санкт-Петербург;Санкт-Петербург;Дворцовая;59.938888;30.315230
128;Санкт-Петербург;Санкт-Петербург;Лахтинский;59.988680;30.175713
129;Санкт-Петербург;Санкт-Петербург;Рентгена;59.963120;30.317314
130;Санкт-Петербург;Санкт-Петербург;Большой;59.980844;30.282828
131;Санкт-Петербург;Санкт-Петербург;Косыгина;59.940830;30.456176
132;Санкт-Петербург;Санкт-Петербург;Лахтинский;59.988680;30.175713
133;Санкт-Петербург;Санкт-Петербург;Правленская;59.881299;29.910387
134;Санкт-Петербург;Санкт-Петербург;Косыгина;59.940830;30.456176
135;Санкт-Петербург;Санкт-Петербург;Зеленков;59.971159;30.338155
136;Санкт-Петербург;Санкт-Петербург;Горское;60.097897;30.243158
137;Санкт-Петербург;Санкт-Петербург;Шкапина;59.903841;30.291425
138;Санкт-Петербург;Санкт-Петербург;Литейный;59.934042;30.347615
139;Санкт-Петербург;Санкт-Петербург;Большая;59.931783;30.306256
140;Санкт-Петербург;Санкт-Петербург;Добровольцев;59.836925;30.166406
141;Санкт-Петербург;Санкт-Петербург;Косыгина;59.940830;30.456176
142;Санкт-Петербург;Санкт-Петербург;Савушкина;59.983581;30.224671
143;Санкт-Петербург;Санкт-Петербург;Медиков;59.972893;30.314601
144;Санкт-Петербург;Санкт-Петербург;Христиновский;60.017306;30.623766
145;Санкт-Петербург;Санкт-Петербург;Рентгена;59.963120;30.317314
146;Санкт-Петербург;Санкт-Петербург;Форт;59.995314;29.700702
147;Санкт-Петербург;Санкт-Петербург;Рентгена;59.963120;30.317314
148;Санкт-Петербург;Санкт-Петербург г,  Парголово ул. Заречная заезд  с Выборского шоссе;Парголово;60.126150;30.227366
149;Санкт-Петербург;Санкт-Петербург;Мурманское;59.89;30.68
150;Санкт-Петербург;Санкт-Петербург;Рентгенна;59.963120;30.317314
